A-valued function,A-значная функция
general relativity,общая теория относительности
generally speaking,вообще говоря
generated,порождённый
generator,образующая
geometry,геометрия
Global Positioning System,глобальная система позиционирования
gluing functions,функции склеивания
Gram-Schmidt orthogonalization procedure,процесс ортогонализации Грама–Шмидта
graph,граф
graph theory,теория графов
gravity probe,гравитационный зонд
group bundle,расслоенная группа
Hadamard inverse,обращение Адамара
has relevance to,имеет отношение к
head of vector,конец вектора
helical structure,спиральная структура
helicity,спиральность
hermitian form,эрмитова форма
highest common factor of p and q,наибольший общий делитель p и q
holonomic coordinates,голономные координаты
homeomorphic,гомеоморфный
homeomorphism,гомеоморфизм
homogeneous,однородный
homogeneous Lorentz group,однородная группа Лоренца
homology,гомология
homomorphism,гомоморфизм
homotopic,гомотопный
homotopy,гомотопия
hyperﬁne splitting,сверхтонкое расщепление
hyperplane,гиперплоскость
identical particles,тождественные частицы
identiﬁcation,отождествление
identiﬁcation morphism,морфизм отождествления
identity,единичный элемент
iﬀ,"тогда и только тогда, когда"
image under map,образ при отображении
in a similar way,подобным образом
in general,вообще говоря
indicatrix,индикатриса
inequation,неравенство
inﬁnitesimal,бесконечно малая величина; бесконечно малый
inhomogeneous,неоднородный
inhomogeneous Lorentz group,неоднородная группа Лоренца
injection,инъекция
insulator,диэлектрик; изолятор
interaction,взаимодействие
interaction picture,представление взаимодействия
interference,интерференция
inverse transformation,обратное преобразование
irreducible representation,неприводимое представление
is related to,имеет отношение к
isotropic vector,изотропный вектор
it is evident that,"очевидно, что"
Jacobian,якобиан
Jacobian matrix,матрица Якоби
kernel,ядро (отображения)
Kerr metric,метрика Керра
kinematics,кинематика
Klein bottle,бутылка Клейна
knot,узел
Lagrangian,лагранжиан
lattice,структура (алгебраическая система)
left side of equation,левая часть равенства
left-distributive,дистрибутивен слева
L’Hôspital’s rule,правило Лопиталя
lift of correspondence,лифт соответствия; подъём соответствия
lift of morphism,лифт морфизма; подъём морфизма
lift of vector ﬁeld,лифт векторного поля; подъём векторного поля
limit,предел
limit of correspondence with respect to the ﬁlter,предел соответствия по фильтру
limit of sequence,предел последовательности
limit point,предельная точка
limit set,предельное множество
linearly dependent,линейно зависимые
linearly independent,линейно независимые
little group,малая группа
locally compact space,локально компактное пространство
loop (quasigroup with unit element),лупа (квазигруппа с единицей)
Lorentz transformation,преобразование Лоренца
lower index,нижний индекс
the Mach principle,принцип Маха
manifolds with aﬃne connections,пространство аффинной связности
mapping,отображение
mass,масса
massive particle,массивная частица
massless particle,безмассовая частица
mathematical,математический
mathematician,математик
mathematics,математика
mean value theorem,теорема о конечных приращениях
measure,измерять
measurement,измерение
metric-aﬃne manifold,аффинно-метрическое многообразие
Milky Way,Млечный Путь
mixed system,смешанная система
Moebius band,лист Мёбиуса
momentum,импульс
momentum operator,оператор импульса
monic polynomial,приведенный многочлен; унитарный многочлен
monomial,одночлен
monotone function,монотонная функция
monotonic function,монотонная функция
multiple root,кратный корень
multiplication,умножение
multiplication table,таблица умножения
multiplicative group,мультипликативная группа
multiplicity of x in f ,кратность x в f
multiply by 2,умножить на 2
multiply by b,умножить на b
muon,мюон
mutually orthogonal,взаимно ортогональные; ортогональные друг другу; попарно ортогональные
mutually perpendicular,взаимно перпендикулярные; перпендикулярные друг другу
name index,именной указатель
natural mapping,естественное отображение
natural morphism,естественный морфизм
necessary and suﬃcient,необходимо и достаточно
neighborhood,окрестность
neutrino,нейтрино
neutron,нейтрон
neutron star,нейтронная звезда
non-Abelian group,неабелевая группа
nondegenerate form,невырожденная форма
nontrivial,нетривиальный
norm,норма           
normed space,нормированное пространство
nucleus,ядро (атома)
numerator,числитель
obtain by diﬀerentiating,получить дифференцированием
obtuse angle,тупой угол
Occam’s razor,бритва Оккама
operate,действовать                                   
opposite preordering,противоположная предупорядоченность
ordered set,упорядоченное множество
ordering,упорядоченность
orthonormal basis,ортонормированный базис
parallel transport,параллельный перенос
parallelepiped,параллелепипед
parity,чётность
partial diﬀerential equation,уравнение в частных производных
partial ordering,частичная упорядоченность
partition of unity,разбиение единицы; разложение единицы
Pasch’s axiom,аксиома Паша
passage to the limit,предельный переход
pericentre,перицентр
perturbation,возмущение
pfaﬃan derivative,пфаффова производная
phenomena,явления
phenomenon,явление
photon,фотон
physical,физический
physicist,физик
physics,физика
point,точечный; точка
polology,полология
polyadditive map,полиаддитивное отображение
polylinear form,полилинейная форма
polynomial,многочлен; полином
polyvector,поливектор
poolback bundle,обратный образ расслоения; прообраз расслоения
positive deﬁnite form,положительно определённая форма
positive integer,натуральное число
power of set,мощность множества
precession,прецессия
preordering,предупорядоченность
prime ideal,простой идеал
principal bundle,главное расслоение
probability,вероятность
problem,задача
proceeding in this way,продолжая таким образом; продолжив этот процесс
projection,проекция
projective plane,проективная плоскость
proof by induction,доказательство по индукции
propagation,распространение
proper state,собственное состояние
proper value,собственное значение
pseudo-Euclidean space,псевдоевклидовое пространство
pulsar,пульсар
quadratic equation,квадратное уравнение
quantum entanglement,квантовая запутанность
quark,кварк
quasar,квазар
quasigroup,квазигруппа
quaternion,кватернион
quotient bundle,фактор расслоение
quotient group,факторгруппа
quotient ring,факторкольцо
quotient set,фактор множество
quotient topology,фактортопология
radiation belt,радиационный пояс
range,множество значений; область значений
rational ﬁeld,поле рациональных чисел
real function,числовая функция
real valued function,числовая функция
reciprocal image,обратный образ
reduced Cartesian product of bundles,приведенное декартово произведение расслоений
reduced ﬁbered correspondence,приведенное расслоенное соответствие
reduction of similar terms,приведение подобных
reference frame,система отсчёта
reﬂexive,рефлексивный
regression,регрессия
relation,отношение
relevance,важность; значимость; существенность
remainder,остаток
repeated root,кратный корень
represent,представлять
residue,вычет
resistance,сопротивление
resistivity,удельное сопротивление
resonance,резонанс
restriction of correspondence Φ to set C,сужение соответствия Φ на множество C
retract,ретракт
retraction,ретракция
right angle,прямой угол
right side of equation,правая часть равенства
right-distributive,дистрибутивен справа
ring of characteristic p,кольцо характеристики p
ring of integers,кольцо целых чисел
rotation group,группа вращения
row vector,вектор строка
scale,масштаб
scattering,рассеяние
scattering amplitude,амплитуда рассеяния
scattering from crystal,рассеяние на кристалле
scattering theory,теория рассеяния
secant,секанс
section,сечение
segment,отрезок
seismology,сейсмология
semiconductor,полупроводник
semigroup,полугруппа
series,ряд (бесконечная сумма)
set of functions,семейство функций
set of power of continuum,множество мощности континуум
sieve of Eratosthenes,решето Эратосфена
similar triangles,подобные треугольники
simple polyvector,простой поливектор
simple ring,простое кольцо
simple root,простой корень
simplex,симплекс
simply connected,односвязный
sine,синус
single transitive representation,однотранзитивное представление
skew ﬁeld,тело (кольцо с делением)
skew product of vectors,косое произведение векторов
skew-symmetric form,кососимметричная форма
skew-symmetric tensor,кососимметричный тензор
solar eclipse,затмение Солнца
spacelike vector,пространственноподобный вектор
special relativity,специальная теория относительности
sphere,сфера
spherical triangle,сферический треугольник
splittable algebra,расщепляемая алгебра
square root,квадратный корень
star-shaped domain,звёздная область
stationary state,стационарное состояние
strictly monotone function,строго монотонная функция
strictly monotonic function,строго монотонная функция
strongly monotone function,строго монотонная функция
strongly monotonic function,строго монотонная функция
structural constants,структурные константы
structure constants,структурные константы
subordinate,подчинённый
subtrahend,вычитаемое
summation convention,правило суммирования
summer solstice,летнее солнцестояние
surjection,сюръекция
symmetric,симметричный
symmetry,симметрия
synchronization procedure,процедура синхронизации
synchrotron,синхротрон
system of total diﬀerential equations,система уравнений в полных дифференциалах                       
tidal acceleration,приливное ускорение
timelike vector,времениподобный вектор
topological space,топологическое пространство
topology,топология
torsion,кручение
torus,тор
total diﬀerential,полный дифференциал
total ordering,линейная упорядоченность
total space,тотальное пространство расслоения
trajectory,траектория
transition function,функция перехода
transitive,транзитивный
triangle,треугольник
trigonometrical,тригонометрический
trigonometry,тригонометрия
trivial,тривиальный
Tunguska Cosmic Body,тунгусский метеорит
tuple,кортеж
turbulence,турбулентность
twin representation,парное представление
two-sided ideal,двусторонний идеал
uniform continuity,равномерная непрерывность
uniform space,равномерное пространство
uniformly continuous function,равномерно непрерывная функция
unit sphere,единичная сфера
valued division ring,нормированное тело
valued ﬁeld,нормированное поле
valued skew ﬁeld,нормированное тело
variable,переменная
vector bundle,векторное расслоение
vector function,вектор-функция
vector space,векторное пространство
verify directly,непосредственная проверка доказывает
vertex,вершина
vertical,вертикальный
vertices,вершины
viscosity,вязкость
